                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.56635,                0.49137,                  1.016,                 0.9423,                0.94146,                0.97955,                0.84579,                0.57825,                0.33516,                0.93148,               0.001486,               0.001486,               0.001486
                     89,                0.57198,                0.48876,                 1.0188,                0.94599,                0.93938,                0.97968,                0.84555,                 0.5783,                0.33456,                0.93159,               0.001387,               0.001387,               0.001387
                     90,                0.56249,                0.48693,                 1.0152,                0.94506,                 0.9407,                0.97953,                0.84622,                0.57857,                 0.3339,                0.93186,               0.001288,               0.001288,               0.001288
                     91,                0.45104,                 0.2498,                0.93875,                0.93996,                0.94243,                 0.9792,                0.84632,                0.57801,                0.33405,                0.93162,               0.001189,               0.001189,               0.001189
                     92,                0.44184,                0.23976,                0.93014,                0.94018,                0.94259,                0.97925,                0.84625,                 0.5784,                0.33341,                0.93222,                0.00109,                0.00109,                0.00109
                     93,                0.42695,                0.23362,                0.92232,                0.94279,                0.94352,                0.97941,                0.84569,                0.57857,                0.33319,                0.93239,               0.000991,               0.000991,               0.000991
                     94,                0.42238,                  0.228,                0.92281,                0.94577,                0.94324,                0.97984,                 0.8452,                 0.5788,                0.33288,                 0.9326,               0.000892,               0.000892,               0.000892
                     95,                0.41147,                0.22502,                0.91706,                0.94563,                0.94544,                0.97975,                0.84566,                0.57879,                0.33324,                0.93267,               0.000793,               0.000793,               0.000793
                     96,                0.41159,                 0.2228,                0.91654,                0.93935,                0.94378,                0.97961,                0.84589,                0.57873,                0.33198,                0.93275,               0.000694,               0.000694,               0.000694
                     97,                0.40441,                0.21816,                 0.9123,                0.93619,                0.94583,                0.97963,                0.84612,                0.57852,                0.33122,                0.93274,               0.000595,               0.000595,               0.000595
                     98,                0.39919,                0.21577,                0.91121,                  0.957,                0.92464,                0.97941,                0.84732,                0.57856,                 0.3304,                0.93282,               0.000496,               0.000496,               0.000496
                     99,                0.39784,                0.21378,                0.91124,                 0.9618,                 0.9232,                0.97942,                 0.8473,                0.57861,                0.33039,                0.93316,               0.000397,               0.000397,               0.000397
                    100,                0.38717,                0.20916,                0.90761,                0.95345,                0.92737,                0.97937,                0.84819,                0.57917,                0.32992,                0.93404,               0.000298,               0.000298,               0.000298
